"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"623";"DRS XI - PRESIDENTE PRUDENTE";NA;5;5;NA;1;11;NA;NA;NA;NA;NA;2021-04-30
"624";"DRS XII - REGISTRO";NA;1;1;1;1;4;NA;NA;NA;NA;NA;2021-04-30
"625";"DRS XIII - RIBEIRÃO PRETO";NA;4;6;NA;NA;10;NA;NA;NA;NA;NA;2021-04-30
"626";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;3;3;1;NA;7;NA;NA;NA;NA;NA;2021-04-30
"627";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;40;25;2;NA;67;NA;NA;NA;NA;NA;2021-04-30
"628";"DRS XVI - SOROCABA";1;12;7;6;NA;26;NA;NA;NA;NA;NA;2021-04-30
"629";"DRS XVII - TAUBATÉ";NA;18;19;2;1;40;NA;NA;1;NA;1;2021-04-30
"630";"DRS I - GRANDE SÃO PAULO";11;28;4;6;2;51;NA;1;NA;NA;NA;2021-05-01
"631";"DRS II - ARAÇATUBA";NA;1;1;2;NA;4;NA;NA;NA;NA;NA;2021-05-01
"632";"DRS III - ARARAQUARA";NA;8;7;8;1;24;NA;NA;NA;NA;NA;2021-05-01
"633";"DRS IV - BAIXADA SANTISTA";NA;3;5;NA;NA;8;NA;NA;NA;NA;NA;2021-05-01
"634";"DRS V - BARRETOS";NA;6;15;5;NA;26;NA;NA;NA;NA;NA;2021-05-01
"635";"DRS VI - BAURU";NA;2;5;6;NA;13;NA;NA;NA;NA;NA;2021-05-01
"636";"DRS VII - CAMPINAS";8;10;4;3;NA;25;1;NA;NA;1;2;2021-05-01
"637";"DRS VIII - FRANCA";NA;8;7;1;NA;16;NA;NA;NA;NA;NA;2021-05-01
"638";"DRS IX - MARÍLIA";NA;21;12;3;NA;36;NA;NA;NA;1;1;2021-05-01
"639";"DRS X - PIRACICABA";NA;9;4;1;NA;14;NA;NA;NA;NA;NA;2021-05-01
"640";"DRS XI - PRESIDENTE PRUDENTE";NA;6;5;NA;NA;11;NA;NA;NA;NA;NA;2021-05-01
"641";"DRS XII - REGISTRO";NA;2;1;1;NA;4;NA;NA;NA;NA;NA;2021-05-01
"642";"DRS XIII - RIBEIRÃO PRETO";1;5;8;1;1;16;NA;NA;NA;NA;NA;2021-05-01
"643";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;2;5;NA;NA;7;NA;NA;NA;NA;NA;2021-05-01
"644";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;34;27;NA;NA;61;NA;NA;NA;NA;NA;2021-05-01
"645";"DRS XVI - SOROCABA";NA;12;7;11;NA;30;NA;NA;NA;NA;NA;2021-05-01
"646";"DRS XVII - TAUBATÉ";NA;17;17;6;1;41;NA;NA;NA;NA;NA;2021-05-01
"647";"DRS I - GRANDE SÃO PAULO";11;29;6;4;1;51;NA;1;NA;NA;1;2021-05-02
"648";"DRS II - ARAÇATUBA";NA;4;2;1;NA;7;NA;NA;NA;NA;NA;2021-05-02
"649";"DRS III - ARARAQUARA";1;9;5;9;NA;24;NA;NA;NA;NA;NA;2021-05-02
"650";"DRS IV - BAIXADA SANTISTA";NA;3;3;NA;NA;6;NA;NA;NA;NA;NA;2021-05-02
"651";"DRS V - BARRETOS";NA;7;13;3;NA;23;NA;NA;NA;NA;NA;2021-05-02
"652";"DRS VI - BAURU";NA;4;2;6;NA;12;NA;NA;NA;NA;NA;2021-05-02
"653";"DRS VII - CAMPINAS";8;12;3;3;NA;26;NA;NA;NA;NA;NA;2021-05-02
