"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"1200";"DRS X - PIRACICABA";9;18;5;NA;NA;32;NA;NA;NA;NA;0;2021-06-03
"1201";"DRS XI - PRESIDENTE PRUDENTE";3;13;8;NA;NA;24;NA;NA;NA;NA;0;2021-06-03
"1202";"DRS XII - REGISTRO";1;NA;NA;NA;NA;1;NA;NA;NA;NA;0;2021-06-03
"1203";"DRS XIII - RIBEIRÃO PRETO";9;19;10;NA;1;39;NA;NA;NA;NA;0;2021-06-03
"1204";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;6;4;NA;NA;10;NA;NA;NA;NA;0;2021-06-03
"1205";"DRS XV - SÃO JOSÉ DO RIO PRETO";16;74;15;NA;NA;105;NA;NA;NA;NA;0;2021-06-03
"1206";"DRS XVI - SOROCABA";5;52;25;2;5;89;NA;NA;NA;NA;0;2021-06-03
"1207";"DRS XVII - TAUBATÉ";1;13;6;1;NA;21;NA;NA;NA;NA;0;2021-06-03
"1208";"DRS I - GRANDE SÃO PAULO";5;22;35;6;2;70;NA;NA;2;NA;2;2021-06-04
"1209";"DRS II - ARAÇATUBA";NA;14;3;NA;NA;17;NA;NA;NA;NA;0;2021-06-04
"1210";"DRS III - ARARAQUARA";1;15;6;NA;NA;22;NA;NA;NA;NA;0;2021-06-04
"1211";"DRS IV - BAIXADA SANTISTA";NA;NA;3;NA;NA;3;NA;NA;NA;NA;0;2021-06-04
"1212";"DRS V - BARRETOS";4;26;9;NA;NA;39;NA;NA;NA;NA;0;2021-06-04
"1213";"DRS VI - BAURU";1;27;8;NA;1;37;NA;NA;NA;NA;0;2021-06-04
"1214";"DRS VII - CAMPINAS";6;41;20;1;1;69;NA;NA;NA;NA;0;2021-06-04
"1215";"DRS VIII - FRANCA";2;32;5;NA;NA;39;NA;NA;NA;NA;0;2021-06-04
"1216";"DRS IX - MARÍLIA";5;41;22;1;4;73;NA;NA;NA;NA;0;2021-06-04
"1217";"DRS X - PIRACICABA";8;15;4;NA;NA;27;NA;NA;NA;NA;0;2021-06-04
"1218";"DRS XI - PRESIDENTE PRUDENTE";3;10;3;1;NA;17;NA;NA;NA;NA;0;2021-06-04
"1219";"DRS XII - REGISTRO";1;1;1;NA;NA;3;NA;NA;NA;NA;0;2021-06-04
"1220";"DRS XIII - RIBEIRÃO PRETO";8;23;9;NA;1;41;NA;NA;NA;NA;0;2021-06-04
"1221";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;10;7;NA;NA;18;NA;NA;NA;NA;0;2021-06-04
"1222";"DRS XV - SÃO JOSÉ DO RIO PRETO";15;71;13;NA;1;100;NA;NA;NA;NA;0;2021-06-04
"1223";"DRS XVI - SOROCABA";6;57;17;NA;6;86;NA;NA;NA;NA;0;2021-06-04
"1224";"DRS XVII - TAUBATÉ";2;16;3;NA;NA;21;NA;NA;NA;NA;0;2021-06-04
"1225";"DRS I - GRANDE SÃO PAULO";7;35;32;3;2;79;NA;NA;1;NA;1;2021-06-05
"1226";"DRS II - ARAÇATUBA";NA;6;2;NA;NA;8;NA;NA;NA;NA;0;2021-06-05
"1227";"DRS III - ARARAQUARA";NA;17;9;NA;NA;26;NA;NA;NA;NA;0;2021-06-05
"1228";"DRS IV - BAIXADA SANTISTA";NA;2;5;NA;NA;7;NA;NA;NA;NA;0;2021-06-05
"1229";"DRS V - BARRETOS";2;20;18;NA;NA;40;NA;NA;NA;NA;0;2021-06-05
"1230";"DRS VI - BAURU";3;20;13;3;4;43;NA;NA;NA;NA;0;2021-06-05
"1231";"DRS VII - CAMPINAS";7;45;33;1;1;87;NA;NA;NA;NA;0;2021-06-05
"1232";"DRS VIII - FRANCA";2;26;2;1;NA;31;NA;NA;NA;NA;0;2021-06-05
"1233";"DRS IX - MARÍLIA";4;40;14;NA;4;62;NA;NA;NA;NA;0;2021-06-05
"1234";"DRS X - PIRACICABA";7;22;9;NA;1;39;NA;NA;NA;NA;0;2021-06-05
"1235";"DRS XI - PRESIDENTE PRUDENTE";4;6;7;NA;1;18;NA;NA;NA;NA;0;2021-06-05
"1236";"DRS XII - REGISTRO";NA;1;2;NA;NA;3;NA;NA;NA;NA;0;2021-06-05
"1237";"DRS XIII - RIBEIRÃO PRETO";6;30;5;NA;1;42;NA;NA;NA;NA;0;2021-06-05
"1238";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;10;6;NA;NA;17;NA;NA;NA;NA;0;2021-06-05
"1239";"DRS XV - SÃO JOSÉ DO RIO PRETO";13;81;14;NA;1;109;NA;NA;NA;1;1;2021-06-05
"1240";"DRS XVI - SOROCABA";12;59;27;NA;5;103;NA;NA;NA;NA;0;2021-06-05
"1241";"DRS XVII - TAUBATÉ";4;10;5;NA;NA;19;NA;NA;NA;NA;0;2021-06-05
"1242";"DRS I - GRANDE SÃO PAULO";6;35;31;3;2;77;NA;NA;1;1;2;2021-06-06
"1243";"DRS II - ARAÇATUBA";1;5;2;NA;NA;8;NA;NA;NA;NA;0;2021-06-06
"1244";"DRS III - ARARAQUARA";1;18;7;NA;NA;26;NA;NA;NA;NA;0;2021-06-06
"1245";"DRS IV - BAIXADA SANTISTA";NA;3;3;NA;NA;6;NA;NA;NA;NA;0;2021-06-06
"1246";"DRS V - BARRETOS";1;19;15;NA;NA;35;NA;NA;NA;NA;0;2021-06-06
"1247";"DRS VI - BAURU";3;22;13;1;1;40;NA;NA;NA;NA;0;2021-06-06
"1248";"DRS VII - CAMPINAS";7;43;30;1;1;82;NA;NA;NA;NA;0;2021-06-06
"1249";"DRS VIII - FRANCA";2;26;8;NA;NA;36;NA;NA;NA;NA;0;2021-06-06
"1250";"DRS IX - MARÍLIA";6;40;14;NA;4;64;NA;NA;NA;NA;0;2021-06-06
"1251";"DRS X - PIRACICABA";9;24;5;NA;1;39;NA;NA;NA;NA;0;2021-06-06
"1252";"DRS XI - PRESIDENTE PRUDENTE";4;8;7;NA;1;20;NA;NA;NA;NA;0;2021-06-06
"1253";"DRS XII - REGISTRO";NA;2;2;NA;NA;4;NA;NA;NA;NA;0;2021-06-06
"1254";"DRS XIII - RIBEIRÃO PRETO";7;30;6;NA;1;44;NA;NA;NA;NA;0;2021-06-06
"1255";"DRS XIV - SÃO JOÃO DA BOA VISTA";2;9;5;NA;NA;16;NA;NA;NA;1;1;2021-06-06
"1256";"DRS XV - SÃO JOSÉ DO RIO PRETO";12;83;12;NA;NA;107;NA;NA;NA;NA;0;2021-06-06
"1257";"DRS XVI - SOROCABA";14;60;19;NA;4;97;NA;NA;NA;NA;0;2021-06-06
"1258";"DRS XVII - TAUBATÉ";5;11;6;NA;NA;22;NA;NA;NA;NA;0;2021-06-06
"1259";"DRS I - GRANDE SÃO PAULO";7;31;45;5;1;89;NA;NA;1;1;2;2021-06-07
"1260";"DRS II - ARAÇATUBA";1;7;4;NA;NA;12;NA;NA;NA;NA;0;2021-06-07
"1261";"DRS III - ARARAQUARA";1;16;9;NA;NA;26;NA;NA;NA;NA;0;2021-06-07
"1262";"DRS IV - BAIXADA SANTISTA";NA;1;3;NA;NA;4;NA;NA;NA;NA;0;2021-06-07
"1263";"DRS V - BARRETOS";2;22;15;1;NA;40;NA;NA;NA;NA;0;2021-06-07
"1264";"DRS VI - BAURU";3;29;12;NA;5;49;NA;NA;NA;NA;0;2021-06-07
"1265";"DRS VII - CAMPINAS";6;42;30;4;2;84;NA;NA;NA;NA;0;2021-06-07
"1266";"DRS VIII - FRANCA";2;23;7;NA;NA;32;NA;NA;NA;NA;0;2021-06-07
"1267";"DRS IX - MARÍLIA";7;41;13;NA;2;63;NA;NA;NA;NA;0;2021-06-07
"1268";"DRS X - PIRACICABA";8;23;7;NA;1;39;NA;NA;NA;NA;0;2021-06-07
"1269";"DRS XI - PRESIDENTE PRUDENTE";5;16;5;NA;1;27;NA;NA;NA;NA;0;2021-06-07
"1270";"DRS XII - REGISTRO";NA;4;NA;NA;NA;4;NA;NA;NA;NA;0;2021-06-07
"1271";"DRS XIII - RIBEIRÃO PRETO";7;25;3;NA;NA;35;NA;NA;NA;2;2;2021-06-07
"1272";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;7;2;NA;NA;10;NA;NA;NA;NA;0;2021-06-07
"1273";"DRS XV - SÃO JOSÉ DO RIO PRETO";9;79;20;NA;NA;108;NA;NA;NA;NA;0;2021-06-07
"1274";"DRS XVI - SOROCABA";18;65;14;1;3;101;NA;NA;NA;NA;0;2021-06-07
"1275";"DRS XVII - TAUBATÉ";3;14;9;1;1;28;NA;NA;NA;NA;0;2021-06-07
"1276";"DRS I - GRANDE SÃO PAULO";4;38;39;2;1;84;NA;NA;NA;1;1;2021-06-08
"1277";"DRS II - ARAÇATUBA";2;4;5;1;NA;12;NA;NA;NA;NA;0;2021-06-08
"1278";"DRS III - ARARAQUARA";1;24;6;NA;NA;31;NA;NA;NA;NA;0;2021-06-08
"1279";"DRS IV - BAIXADA SANTISTA";NA;2;1;NA;NA;3;NA;NA;NA;NA;0;2021-06-08
"1280";"DRS V - BARRETOS";NA;31;17;3;1;52;NA;NA;NA;NA;0;2021-06-08
"1281";"DRS VI - BAURU";1;30;10;NA;5;46;NA;NA;1;1;2;2021-06-08
"1282";"DRS VII - CAMPINAS";3;37;32;4;2;78;NA;NA;NA;NA;0;2021-06-08
"1283";"DRS VIII - FRANCA";2;24;5;NA;NA;31;NA;NA;NA;NA;0;2021-06-08
"1284";"DRS IX - MARÍLIA";6;45;19;2;2;74;NA;NA;NA;NA;0;2021-06-08
"1285";"DRS X - PIRACICABA";12;31;13;NA;1;57;NA;NA;NA;NA;0;2021-06-08
"1286";"DRS XI - PRESIDENTE PRUDENTE";5;20;5;NA;NA;30;NA;NA;NA;NA;0;2021-06-08
"1287";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;0;2021-06-08
"1288";"DRS XIII - RIBEIRÃO PRETO";6;16;5;NA;NA;27;NA;NA;NA;NA;0;2021-06-08
"1289";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;6;1;NA;NA;8;NA;NA;NA;NA;0;2021-06-08
"1290";"DRS XV - SÃO JOSÉ DO RIO PRETO";10;80;25;2;NA;117;NA;NA;NA;NA;0;2021-06-08
"1291";"DRS XVI - SOROCABA";17;74;26;1;2;120;NA;NA;NA;NA;0;2021-06-08
"1292";"DRS XVII - TAUBATÉ";1;16;9;1;2;29;NA;NA;NA;NA;0;2021-06-08
"1293";"DRS I - GRANDE SÃO PAULO";6;42;38;2;3;91;NA;NA;1;NA;1;2021-06-09
"1294";"DRS II - ARAÇATUBA";2;12;7;NA;NA;21;NA;NA;NA;NA;0;2021-06-09
"1295";"DRS III - ARARAQUARA";1;25;6;1;NA;33;NA;NA;NA;NA;0;2021-06-09
"1296";"DRS IV - BAIXADA SANTISTA";NA;2;5;NA;NA;7;NA;NA;NA;NA;0;2021-06-09
"1297";"DRS V - BARRETOS";NA;33;26;2;NA;61;NA;NA;NA;NA;0;2021-06-09
"1298";"DRS VI - BAURU";3;37;12;NA;11;63;NA;NA;NA;NA;0;2021-06-09
"1299";"DRS VII - CAMPINAS";6;38;37;2;2;85;NA;NA;NA;NA;0;2021-06-09
"1300";"DRS VIII - FRANCA";2;24;6;NA;NA;32;NA;NA;NA;NA;0;2021-06-09
"1301";"DRS IX - MARÍLIA";6;38;23;1;NA;68;NA;NA;NA;NA;0;2021-06-09
"1302";"DRS X - PIRACICABA";13;37;4;NA;2;56;NA;NA;NA;NA;0;2021-06-09
"1303";"DRS XI - PRESIDENTE PRUDENTE";7;18;9;NA;NA;34;NA;NA;NA;NA;0;2021-06-09
"1304";"DRS XII - REGISTRO";NA;3;NA;NA;1;4;NA;NA;NA;NA;0;2021-06-09
"1305";"DRS XIII - RIBEIRÃO PRETO";5;14;5;NA;NA;24;NA;NA;NA;NA;0;2021-06-09
"1306";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;6;4;NA;1;12;NA;NA;NA;NA;0;2021-06-09
"1307";"DRS XV - SÃO JOSÉ DO RIO PRETO";10;80;21;1;NA;112;NA;NA;1;NA;1;2021-06-09
"1308";"DRS XVI - SOROCABA";13;57;32;2;2;106;NA;NA;NA;NA;0;2021-06-09
"1309";"DRS XVII - TAUBATÉ";2;16;5;1;1;25;NA;NA;NA;NA;0;2021-06-09
"1310";"DRS I - GRANDE SÃO PAULO";9;43;41;5;NA;98;NA;NA;NA;NA;0;2021-06-10
"1311";"DRS II - ARAÇATUBA";3;11;7;NA;NA;21;NA;NA;NA;NA;0;2021-06-10
"1312";"DRS III - ARARAQUARA";2;20;4;2;NA;28;NA;NA;NA;NA;0;2021-06-10
"1313";"DRS IV - BAIXADA SANTISTA";NA;3;2;NA;1;6;NA;NA;NA;NA;0;2021-06-10
"1314";"DRS V - BARRETOS";4;38;22;2;NA;66;NA;NA;NA;NA;0;2021-06-10
"1315";"DRS VI - BAURU";3;37;14;NA;12;66;NA;NA;NA;NA;0;2021-06-10
"1316";"DRS VII - CAMPINAS";7;41;29;1;2;80;NA;NA;NA;NA;0;2021-06-10
"1317";"DRS VIII - FRANCA";2;22;5;NA;NA;29;NA;NA;NA;NA;0;2021-06-10
"1318";"DRS IX - MARÍLIA";6;52;22;1;1;82;NA;NA;NA;NA;0;2021-06-10
"1319";"DRS X - PIRACICABA";17;29;7;1;NA;54;NA;NA;NA;NA;0;2021-06-10
"1320";"DRS XI - PRESIDENTE PRUDENTE";7;14;10;NA;NA;31;NA;NA;NA;NA;0;2021-06-10
"1321";"DRS XII - REGISTRO";NA;3;NA;NA;NA;3;NA;NA;NA;NA;0;2021-06-10
"1322";"DRS XIII - RIBEIRÃO PRETO";6;19;7;NA;NA;32;NA;NA;NA;NA;0;2021-06-10
"1323";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;6;4;NA;1;12;NA;NA;NA;NA;0;2021-06-10
"1324";"DRS XV - SÃO JOSÉ DO RIO PRETO";13;81;21;NA;1;116;NA;NA;1;NA;1;2021-06-10
"1325";"DRS XVI - SOROCABA";11;55;18;1;2;87;NA;NA;NA;NA;0;2021-06-10
"1326";"DRS XVII - TAUBATÉ";2;12;8;NA;NA;22;NA;NA;NA;NA;0;2021-06-10
"1327";"DRS I - GRANDE SÃO PAULO";7;50;29;3;3;92;NA;NA;1;NA;1;2021-06-11
"1328";"DRS II - ARAÇATUBA";5;18;9;NA;NA;32;NA;NA;NA;NA;0;2021-06-11
"1329";"DRS III - ARARAQUARA";2;16;4;NA;NA;22;NA;NA;NA;NA;0;2021-06-11
"1330";"DRS IV - BAIXADA SANTISTA";NA;3;3;NA;NA;6;NA;NA;NA;NA;0;2021-06-11
"1331";"DRS V - BARRETOS";7;39;20;1;NA;67;NA;NA;NA;NA;0;2021-06-11
"1332";"DRS VI - BAURU";4;37;13;NA;10;64;NA;NA;NA;NA;0;2021-06-11
"1333";"DRS VII - CAMPINAS";8;34;21;NA;1;64;NA;NA;NA;NA;0;2021-06-11
"1334";"DRS VIII - FRANCA";2;20;5;NA;NA;27;NA;NA;NA;NA;0;2021-06-11
"1335";"DRS IX - MARÍLIA";6;48;29;NA;1;84;NA;NA;NA;NA;0;2021-06-11
"1336";"DRS X - PIRACICABA";14;31;13;NA;NA;58;NA;NA;NA;NA;0;2021-06-11
"1337";"DRS XI - PRESIDENTE PRUDENTE";5;13;6;1;NA;25;NA;NA;NA;NA;0;2021-06-11
"1338";"DRS XII - REGISTRO";NA;2;NA;NA;NA;2;NA;NA;NA;NA;0;2021-06-11
"1339";"DRS XIII - RIBEIRÃO PRETO";3;18;6;NA;NA;27;NA;NA;NA;NA;0;2021-06-11
"1340";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;5;3;NA;1;10;NA;NA;NA;NA;0;2021-06-11
"1341";"DRS XV - SÃO JOSÉ DO RIO PRETO";14;84;17;NA;2;117;NA;NA;1;NA;1;2021-06-11
"1342";"DRS XVI - SOROCABA";16;46;28;NA;3;93;NA;NA;NA;NA;0;2021-06-11
"1343";"DRS XVII - TAUBATÉ";NA;11;6;NA;NA;17;NA;NA;1;NA;1;2021-06-11
"1344";"DRS I - GRANDE SÃO PAULO";10;41;29;4;2;86;NA;NA;NA;NA;0;2021-06-12
"1345";"DRS II - ARAÇATUBA";3;17;7;NA;NA;27;NA;NA;NA;NA;0;2021-06-12
"1346";"DRS III - ARARAQUARA";1;18;4;NA;NA;23;NA;NA;NA;NA;0;2021-06-12
"1347";"DRS IV - BAIXADA SANTISTA";NA;4;2;NA;NA;6;NA;NA;NA;NA;0;2021-06-12
"1348";"DRS V - BARRETOS";4;33;24;NA;NA;61;NA;NA;NA;NA;0;2021-06-12
"1349";"DRS VI - BAURU";6;32;13;NA;6;57;NA;NA;NA;NA;0;2021-06-12
"1350";"DRS VII - CAMPINAS";6;36;25;1;2;70;NA;NA;1;NA;1;2021-06-12
"1351";"DRS VIII - FRANCA";2;17;4;NA;NA;23;NA;NA;NA;NA;0;2021-06-12
"1352";"DRS IX - MARÍLIA";4;47;24;NA;NA;75;NA;NA;NA;NA;0;2021-06-12
"1353";"DRS X - PIRACICABA";15;29;14;NA;NA;58;NA;NA;NA;NA;0;2021-06-12
"1354";"DRS XI - PRESIDENTE PRUDENTE";4;9;5;NA;NA;18;NA;NA;NA;NA;0;2021-06-12
"1355";"DRS XII - REGISTRO";NA;2;1;NA;NA;3;NA;NA;NA;NA;0;2021-06-12
"1356";"DRS XIII - RIBEIRÃO PRETO";3;17;5;NA;2;27;NA;NA;NA;NA;0;2021-06-12
"1357";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;7;1;NA;NA;9;NA;NA;NA;NA;0;2021-06-12
"1358";"DRS XV - SÃO JOSÉ DO RIO PRETO";12;74;22;NA;1;109;NA;NA;1;NA;1;2021-06-12
"1359";"DRS XVI - SOROCABA";12;49;20;NA;2;83;NA;NA;NA;NA;0;2021-06-12
"1360";"DRS XVII - TAUBATÉ";1;9;14;NA;NA;24;NA;1;NA;NA;1;2021-06-12
"1361";"DRS I - GRANDE SÃO PAULO";9;39;31;2;1;82;NA;NA;NA;NA;0;2021-06-13
"1362";"DRS II - ARAÇATUBA";2;19;6;NA;NA;27;NA;NA;1;NA;1;2021-06-13
"1363";"DRS III - ARARAQUARA";2;15;2;1;NA;20;NA;NA;NA;NA;0;2021-06-13
"1364";"DRS IV - BAIXADA SANTISTA";1;3;NA;1;NA;5;NA;NA;NA;NA;0;2021-06-13
"1365";"DRS V - BARRETOS";5;36;28;NA;NA;69;NA;NA;NA;NA;0;2021-06-13
"1366";"DRS VI - BAURU";3;26;14;NA;3;46;NA;NA;NA;NA;0;2021-06-13
"1367";"DRS VII - CAMPINAS";10;32;28;2;2;74;NA;NA;NA;NA;0;2021-06-13
"1368";"DRS VIII - FRANCA";4;19;2;NA;NA;25;NA;NA;NA;NA;0;2021-06-13
"1369";"DRS IX - MARÍLIA";6;49;20;NA;1;76;NA;NA;NA;NA;0;2021-06-13
"1370";"DRS X - PIRACICABA";10;20;14;NA;NA;44;NA;NA;NA;NA;0;2021-06-13
"1371";"DRS XI - PRESIDENTE PRUDENTE";4;11;4;NA;NA;19;NA;NA;NA;NA;0;2021-06-13
"1372";"DRS XII - REGISTRO";NA;3;NA;NA;NA;3;NA;NA;NA;NA;0;2021-06-13
"1373";"DRS XIII - RIBEIRÃO PRETO";4;17;3;NA;1;25;NA;NA;NA;NA;0;2021-06-13
"1374";"DRS XIV - SÃO JOÃO DA BOA VISTA";2;8;6;NA;NA;16;NA;NA;NA;NA;0;2021-06-13
"1375";"DRS XV - SÃO JOSÉ DO RIO PRETO";14;79;15;NA;1;109;NA;NA;NA;NA;0;2021-06-13
"1376";"DRS XVI - SOROCABA";12;48;21;NA;3;84;NA;NA;NA;NA;0;2021-06-13
"1377";"DRS XVII - TAUBATÉ";2;13;15;NA;NA;30;NA;1;NA;NA;1;2021-06-13
"1378";"DRS I - GRANDE SÃO PAULO";11;48;45;1;1;106;NA;NA;NA;NA;0;2021-06-14
"1379";"DRS II - ARAÇATUBA";3;12;1;NA;NA;16;NA;NA;1;NA;1;2021-06-14
"1380";"DRS III - ARARAQUARA";2;13;2;NA;NA;17;NA;NA;NA;NA;0;2021-06-14
"1381";"DRS IV - BAIXADA SANTISTA";1;2;1;1;NA;5;NA;NA;NA;NA;0;2021-06-14
"1382";"DRS V - BARRETOS";6;37;26;NA;NA;69;NA;NA;NA;NA;0;2021-06-14
"1383";"DRS VI - BAURU";3;30;8;2;3;46;NA;NA;NA;NA;0;2021-06-14
"1384";"DRS VII - CAMPINAS";8;27;46;4;2;87;NA;NA;NA;NA;0;2021-06-14
"1385";"DRS VIII - FRANCA";5;24;5;NA;NA;34;NA;NA;NA;NA;0;2021-06-14
"1386";"DRS IX - MARÍLIA";8;52;14;2;1;77;NA;NA;NA;NA;0;2021-06-14
"1387";"DRS X - PIRACICABA";7;20;8;NA;NA;35;NA;NA;NA;NA;0;2021-06-14
"1388";"DRS XI - PRESIDENTE PRUDENTE";5;23;9;NA;NA;37;NA;NA;NA;NA;0;2021-06-14
"1389";"DRS XII - REGISTRO";NA;2;NA;NA;NA;2;NA;NA;NA;NA;0;2021-06-14
"1390";"DRS XIII - RIBEIRÃO PRETO";2;21;2;NA;NA;25;NA;NA;NA;NA;0;2021-06-14
"1391";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;9;11;1;NA;22;NA;NA;NA;NA;0;2021-06-14
"1392";"DRS XV - SÃO JOSÉ DO RIO PRETO";13;78;21;NA;1;113;NA;NA;NA;NA;0;2021-06-14
"1393";"DRS XVI - SOROCABA";15;61;23;NA;3;102;NA;NA;NA;NA;0;2021-06-14
"1394";"DRS XVII - TAUBATÉ";3;9;8;NA;NA;20;NA;NA;NA;NA;0;2021-06-14
"1395";"DRS I - GRANDE SÃO PAULO";7;64;41;5;NA;117;NA;NA;NA;NA;0;2021-06-15
"1396";"DRS II - ARAÇATUBA";3;14;2;NA;NA;19;NA;NA;2;NA;2;2021-06-15
"1397";"DRS III - ARARAQUARA";1;10;3;NA;NA;14;NA;NA;1;NA;1;2021-06-15
"1398";"DRS IV - BAIXADA SANTISTA";NA;1;3;NA;NA;4;NA;NA;NA;NA;0;2021-06-15
"1399";"DRS V - BARRETOS";4;39;19;NA;NA;62;NA;NA;NA;NA;0;2021-06-15
"1400";"DRS VI - BAURU";2;26;11;1;3;43;NA;NA;NA;NA;0;2021-06-15
"1401";"DRS VII - CAMPINAS";10;44;31;3;1;89;NA;NA;NA;NA;0;2021-06-15
"1402";"DRS VIII - FRANCA";3;17;5;NA;NA;25;NA;NA;NA;NA;0;2021-06-15
"1403";"DRS IX - MARÍLIA";7;47;13;1;1;69;NA;NA;NA;NA;0;2021-06-15
"1404";"DRS X - PIRACICABA";10;21;11;NA;NA;42;NA;NA;NA;NA;0;2021-06-15
"1405";"DRS XI - PRESIDENTE PRUDENTE";2;21;8;1;NA;32;NA;NA;NA;NA;0;2021-06-15
"1406";"DRS XII - REGISTRO";NA;3;NA;NA;NA;3;NA;NA;NA;NA;0;2021-06-15
"1407";"DRS XIII - RIBEIRÃO PRETO";2;24;4;NA;NA;30;NA;NA;NA;NA;0;2021-06-15
"1408";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;9;7;NA;NA;17;NA;NA;NA;NA;0;2021-06-15
"1409";"DRS XV - SÃO JOSÉ DO RIO PRETO";10;67;18;NA;NA;95;NA;NA;NA;NA;0;2021-06-15
"1410";"DRS XVI - SOROCABA";10;69;25;NA;3;107;NA;NA;NA;NA;0;2021-06-15
"1411";"DRS XVII - TAUBATÉ";1;13;9;NA;NA;23;NA;NA;NA;NA;0;2021-06-15
"1412";"DRS I - GRANDE SÃO PAULO";6;38;23;1;1;69;NA;NA;NA;NA;0;2021-06-16
"1413";"DRS II - ARAÇATUBA";2;10;NA;NA;NA;12;NA;2;NA;NA;2;2021-06-16
"1414";"DRS III - ARARAQUARA";NA;11;2;NA;1;14;NA;NA;NA;NA;0;2021-06-16
"1415";"DRS IV - BAIXADA SANTISTA";NA;3;2;NA;NA;5;NA;NA;NA;NA;0;2021-06-16
"1416";"DRS V - BARRETOS";4;39;14;1;NA;58;NA;NA;NA;NA;0;2021-06-16
"1417";"DRS VI - BAURU";5;31;19;1;4;60;NA;NA;NA;NA;0;2021-06-16
"1418";"DRS VII - CAMPINAS";8;55;39;2;3;107;NA;NA;NA;NA;0;2021-06-16
"1419";"DRS VIII - FRANCA";2;16;4;NA;NA;22;NA;NA;NA;NA;0;2021-06-16
"1420";"DRS IX - MARÍLIA";5;48;13;1;NA;67;NA;NA;NA;NA;0;2021-06-16
"1421";"DRS X - PIRACICABA";9;23;16;NA;NA;48;NA;NA;NA;NA;0;2021-06-16
"1422";"DRS XI - PRESIDENTE PRUDENTE";4;15;8;1;NA;28;NA;NA;NA;NA;0;2021-06-16
"1423";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;0;2021-06-16
"1424";"DRS XIII - RIBEIRÃO PRETO";3;19;2;NA;NA;24;NA;NA;NA;NA;0;2021-06-16
"1425";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;9;4;NA;NA;13;NA;NA;NA;NA;0;2021-06-16
"1426";"DRS XV - SÃO JOSÉ DO RIO PRETO";14;71;15;2;NA;102;NA;NA;NA;NA;0;2021-06-16
"1427";"DRS XVI - SOROCABA";6;61;15;1;1;84;NA;NA;NA;NA;0;2021-06-16
"1428";"DRS XVII - TAUBATÉ";5;16;7;NA;NA;28;NA;NA;NA;NA;0;2021-06-16
"1429";"DRS I - GRANDE SÃO PAULO";2;23;25;1;1;52;NA;NA;NA;NA;0;2021-06-17
"1430";"DRS II - ARAÇATUBA";2;5;4;NA;NA;11;NA;NA;NA;NA;0;2021-06-17
"1431";"DRS III - ARARAQUARA";2;11;7;NA;NA;20;NA;NA;NA;NA;0;2021-06-17
"1432";"DRS IV - BAIXADA SANTISTA";NA;2;1;NA;NA;3;NA;NA;NA;NA;0;2021-06-17
"1433";"DRS V - BARRETOS";4;34;15;NA;NA;53;NA;NA;NA;NA;0;2021-06-17
"1434";"DRS VI - BAURU";5;39;15;1;2;62;NA;NA;NA;NA;0;2021-06-17
"1435";"DRS VII - CAMPINAS";10;52;35;3;2;102;NA;NA;NA;NA;0;2021-06-17
"1436";"DRS VIII - FRANCA";2;7;3;NA;NA;12;NA;NA;NA;NA;0;2021-06-17
"1437";"DRS IX - MARÍLIA";7;55;12;2;NA;76;NA;NA;NA;NA;0;2021-06-17
"1438";"DRS X - PIRACICABA";8;22;14;1;NA;45;NA;NA;NA;NA;0;2021-06-17
"1439";"DRS XI - PRESIDENTE PRUDENTE";3;13;5;NA;NA;21;NA;NA;NA;NA;0;2021-06-17
"1440";"DRS XII - REGISTRO";NA;1;1;NA;NA;2;NA;NA;NA;NA;0;2021-06-17
"1441";"DRS XIII - RIBEIRÃO PRETO";4;16;2;NA;NA;22;NA;NA;NA;NA;0;2021-06-17
"1442";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;6;4;NA;NA;10;NA;NA;NA;NA;0;2021-06-17
"1443";"DRS XV - SÃO JOSÉ DO RIO PRETO";14;62;15;NA;NA;91;NA;NA;NA;NA;0;2021-06-17
"1444";"DRS XVI - SOROCABA";3;59;15;1;4;82;NA;NA;NA;NA;0;2021-06-17
"1445";"DRS XVII - TAUBATÉ";7;7;2;2;NA;18;NA;NA;NA;NA;0;2021-06-17
"1446";"DRS I - GRANDE SÃO PAULO";NA;17;15;2;NA;34;NA;NA;2;NA;2;2021-06-18
